"study","varname","dataset","concept","description","description_long","boost"
""#### 2013\n* SOEPcore: {{/soep-core/data/ep/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/fh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/fhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/fp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/gh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ghbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ghost/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/gp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/gpost/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/gripstr/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt00/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt02/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt06/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt09/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt10/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt11/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt12/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt13/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt15/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt84/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hbrutt98/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/hp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ih/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ihbrutto/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/interviewer/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ip/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/jh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/jhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/jp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/kh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/khbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/kp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/lh/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/lhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/lp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/mh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/mhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/mp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/nh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/nhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/np/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/oh/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/ohbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/op/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ph/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/phbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/pp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/qh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/qhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/qjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/qp/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/rh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/rhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/rjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/rp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/sh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/shbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/sjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/sp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/th/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/thbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/tjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/tp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/uh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/uhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/ujugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/up/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/vh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/vhbrutto/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/vjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/vp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/wh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/whbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/wjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/wp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/xh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/xhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/xjugend/intid}}\n"", 
""#### 2013\n* SOEPcore: {{/soep-core/data/xp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/yh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/yhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/yjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/yp/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/zh/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/zhbrutto/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/zjugend/intid}}\n"", ""#### 2013\n* SOEPcore: {{/soep-core/data/zp/intid}}\n""
)
c(""#### 2014\n* SOEPcore: {{/soep-core/data/bgh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bghbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bgh_refugees/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bgp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bgjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bgp_mig/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bgp_refugees/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bgschool/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/bgschool2/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bgvp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt16/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/apbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bah/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bahbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bajugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bap/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bbh/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/bbhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bbjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bbp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bbvp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bch/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bchbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bcjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bcp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bcvp/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/bdh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bdhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bdjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bdp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bdp_mig/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bdvp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/beh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/behbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bejugend/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/bep/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bep_mig/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/beschool/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bevp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bfh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bfhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bfjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bfp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bfp_mig/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/bfschool/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bfvp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bioage17/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bioresid/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/biosoc/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/bp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ch/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/chbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/cognit/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/cp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/design/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/dh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/dhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/dp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/eh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ehbrutto/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/ep/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/fh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/fhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/fp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/gh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ghbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ghost/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/gp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/gpost/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/gripstr/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt00/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt02/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt06/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt09/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt10/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt11/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt12/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt13/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt15/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt84/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hbrutt98/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/hp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ih/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ihbrutto/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/interviewer/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ip/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/jh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/jhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/jp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/kh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/khbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/kp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/lh/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/lhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/lp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/mh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/mhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/mp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/nh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/nhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/np/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/oh/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/ohbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/op/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ph/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/phbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/pp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/qh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/qhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/qjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/qp/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/rh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/rhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/rjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/rp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/sh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/shbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/sjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/sp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/th/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/thbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/tjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/tp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/uh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/uhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/ujugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/up/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/vh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/vhbrutto/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/vjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/vp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/wh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/whbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/wjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/wp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/xh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/xhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/xjugend/intid}}\n"", 
""#### 2014\n* SOEPcore: {{/soep-core/data/xp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/yh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/yhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/yjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/yp/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/zh/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/zhbrutto/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/zjugend/intid}}\n"", ""#### 2014\n* SOEPcore: {{/soep-core/data/zp/intid}}\n""
)
c(""#### 2015\n* SOEPcore: {{/soep-core/data/bgh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bghbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bgh_refugees/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bgp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bgjugend/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bgp_mig/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bgp_refugees/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bgschool/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/bgschool2/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bgvp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt16/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/apbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bah/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bahbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bajugend/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bap/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bbh/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/bbhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bbjugend/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bbp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bbvp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bch/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bchbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bcjugend/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bcp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bcvp/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/bdh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bdhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bdjugend/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bdp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bdp_mig/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bdvp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/beh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/behbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bejugend/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/bep/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bep_mig/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/beschool/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bevp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bfh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bfhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bfjugend/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bfp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bfp_mig/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/bfschool/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bfvp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bioage17/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bioresid/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/biosoc/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/bp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/ch/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/chbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/cognit/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/cp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/design/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/dh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/dhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/dp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/eh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/ehbrutto/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/ep/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/fh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/fhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/fp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/gh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/ghbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/ghost/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/gp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/gpost/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/gripstr/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt00/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt02/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt06/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt09/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt10/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt11/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt12/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt13/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt15/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt84/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hbrutt98/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/hp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/ih/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/ihbrutto/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/interviewer/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/ip/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/jh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/jhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/jp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/kh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/khbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/kp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/lh/intid}}\n"", 
""#### 2015\n* SOEPcore: {{/soep-core/data/lhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/lp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/mh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/mhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/mp/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/nh/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/nhbrutto/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/np/intid}}\n"", ""#### 2015\n* SOEPcore: {{/soep-core/data/oh/intid}}\n"", 
